Year,Quarter,Month number,Region,Offence category,Offence type,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,Alcohol_offences,DV_offences
2015,1,2,Barkly,07 Theft,Illegal use of a motor vehicle,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,2,0,0
2015,1,2,Barkly,07 Theft,Theft and related offences (other than MV),0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,10,0,0
2015,1,2,Barkly,11 Property damage offences,Property damage offences,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,12,0,0
2015,1,2,Big Rivers,02 Assault,Assault,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,6,0,0
2015,1,2,Big Rivers,02 Assault,Assault,0,1,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,25,0,25
2015,1,2,Big Rivers,02 Assault,Assault,1,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,5,5,0
2015,1,2,Big Rivers,02 Assault,Assault,1,1,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,26,26,26
2015,1,2,Big Rivers,02 Assault,Other acts intended to cause injury,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,1,0,0
2015,1,2,Big Rivers,03 Sexual offences,Sexual assault,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,4,0,0
2015,1,2,Big Rivers,04 Harm or endanger persons,Other dangerous or negligent acts endangering persons,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,1,0,0
2015,1,2,Big Rivers,04 Harm or endanger persons,Threatening behaviour,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,1,0,0
2015,1,2,Big Rivers,061 Burglary - dwelling,House break-ins actual,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,10,0,0
2015,1,2,Big Rivers,061 Burglary - dwelling,House break-ins attempted,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,2,0,0
2015,1,2,Big Rivers,062 Burglary - non-residential,Commercial break-ins actual,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,12,0,0
2015,1,2,Big Rivers,062 Burglary - non-residential,Commercial break-ins attempted,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,1,0,0
2015,1,2,Big Rivers,07 Theft,Illegal use of a motor vehicle,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,5,0,0
2015,1,2,Big Rivers,07 Theft,Theft and related offences (other than MV),0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,27,0,0
2015,1,2,Big Rivers,07 Theft,Theft of motor vehicle parts or contents,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,4,0,0
2015,1,2,Big Rivers,11 Property damage offences,Property damage offences,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,37,0,0
2015,1,2,Central Australia,02 Assault,Assault,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,27,0,0
2015,1,2,Central Australia,02 Assault,Assault,0,1,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,32,0,32
2015,1,2,Central Australia,02 Assault,Assault,1,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,35,35,0
2015,1,2,Central Australia,02 Assault,Assault,1,1,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,71,71,71
2015,1,2,Central Australia,03 Sexual offences,Non-assaultive sexual offences,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,1,0,0
2015,1,2,Central Australia,03 Sexual offences,Sexual assault,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,5,0,0
2015,1,2,Central Australia,04 Harm or endanger persons,Other dangerous or negligent acts endangering persons,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,4,0,0
2015,1,2,Central Australia,04 Harm or endanger persons,Threatening behaviour,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,3,0,0
2015,1,2,Central Australia,"05 Robbery, blackmail, and extortion",Robbery,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,1,0,0
2015,1,2,Central Australia,061 Burglary - dwelling,House break-ins actual,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,28,0,0
2015,1,2,Central Australia,062 Burglary - non-residential,Commercial break-ins actual,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,34,0,0
2015,1,2,Central Australia,062 Burglary - non-residential,Commercial break-ins attempted,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,3,0,0
2015,1,2,Central Australia,07 Theft,Illegal use of a motor vehicle,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,10,0,0
2015,1,2,Central Australia,07 Theft,Theft and related offences (other than MV),0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,125,0,0
2015,1,2,Central Australia,07 Theft,Theft of motor vehicle parts or contents,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,13,0,0
2015,1,2,Central Australia,11 Property damage offences,Property damage offences,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,122,0,0
2015,1,2,East Arnhem,02 Assault,Assault,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,5,0,0
2015,1,2,East Arnhem,02 Assault,Assault,0,1,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,22,0,22
2015,1,2,East Arnhem,02 Assault,Assault,1,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,2,2,0
2015,1,2,East Arnhem,02 Assault,Assault,1,1,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,5,5,5
2015,1,2,East Arnhem,03 Sexual offences,Sexual assault,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,1,0,0
2015,1,2,East Arnhem,04 Harm or endanger persons,Threatening behaviour,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,1,0,0
2015,1,2,East Arnhem,061 Burglary - dwelling,House break-ins actual,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,3,0,0
2015,1,2,East Arnhem,061 Burglary - dwelling,House break-ins attempted,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,1,0,0
2015,1,2,East Arnhem,062 Burglary - non-residential,Commercial break-ins actual,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,21,0,0
2015,1,2,East Arnhem,062 Burglary - non-residential,Commercial break-ins attempted,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,4,0,0
2015,1,2,East Arnhem,07 Theft,Illegal use of a motor vehicle,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,4,0,0
2015,1,2,East Arnhem,07 Theft,Theft and related offences (other than MV),0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,25,0,0
2015,1,2,East Arnhem,07 Theft,Theft of motor vehicle parts or contents,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,2,0,0
2015,1,2,East Arnhem,11 Property damage offences,Property damage offences,0,0,15563,9751,5812,8056,7507,1449,1388,1095,1227,1503,1451,1321,1125,1030,1611,882,658,428,220,101,39,16,19,,,,,,,,,,,38,0,0
2015,1,2,Greater Darwin,01 Homicide,Manslaughter,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,1,0,0
2015,1,2,Greater Darwin,01 Homicide,Murder,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,1,0,0
2015,1,2,Greater Darwin,02 Assault,Assault,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,68,0,0
2015,1,2,Greater Darwin,02 Assault,Assault,0,1,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,33,0,33
2015,1,2,Greater Darwin,02 Assault,Assault,1,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,56,56,0
2015,1,2,Greater Darwin,02 Assault,Assault,1,1,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,54,54,54
2015,1,2,Greater Darwin,02 Assault,Other acts intended to cause injury,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,5,0,0
2015,1,2,Greater Darwin,03 Sexual offences,Non-assaultive sexual offences,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,4,0,0
2015,1,2,Greater Darwin,03 Sexual offences,Sexual assault,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,19,0,0
2015,1,2,Greater Darwin,04 Harm or endanger persons,Harassment and private nuisance,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,9,0,0
2015,1,2,Greater Darwin,04 Harm or endanger persons,Other dangerous or negligent acts endangering persons,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,3,0,0
2015,1,2,Greater Darwin,04 Harm or endanger persons,Threatening behaviour,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,9,0,0
2015,1,2,Greater Darwin,"05 Robbery, blackmail, and extortion",Robbery,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,7,0,0
2015,1,2,Greater Darwin,061 Burglary - dwelling,House break-ins actual,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,73,0,0
2015,1,2,Greater Darwin,061 Burglary - dwelling,House break-ins attempted,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,4,0,0
2015,1,2,Greater Darwin,062 Burglary - non-residential,Commercial break-ins actual,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,41,0,0
2015,1,2,Greater Darwin,062 Burglary - non-residential,Commercial break-ins attempted,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,5,0,0
2015,1,2,Greater Darwin,07 Theft,Illegal use of a motor vehicle,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,48,0,0
2015,1,2,Greater Darwin,07 Theft,Theft and related offences (other than MV),0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,307,0,0
2015,1,2,Greater Darwin,07 Theft,Theft of motor vehicle parts or contents,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,66,0,0
2015,1,2,Greater Darwin,11 Property damage offences,Property damage offences,0,0,144914,15407,129507,76734,68180,10647,8428,7945,11294,15134,14102,11734,11092,10135,9624,9500,8038,6617,4824,2885,1534,812,569,,,,,,,,,,,268,0,0
2015,1,2,Top End,02 Assault,Assault,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,9,0,0
2015,1,2,Top End,02 Assault,Assault,0,1,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,14,0,14
2015,1,2,Top End,02 Assault,Assault,1,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,1,1,0
2015,1,2,Top End,02 Assault,Assault,1,1,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,8,8,8
2015,1,2,Top End,03 Sexual offences,Sexual assault,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,1,0,0
2015,1,2,Top End,04 Harm or endanger persons,Deprivation of liberty /false imprisonment,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,1,0,0
2015,1,2,Top End,04 Harm or endanger persons,Harassment and private nuisance,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,3,0,0
2015,1,2,Top End,04 Harm or endanger persons,Threatening behaviour,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,3,0,0
2015,1,2,Top End,"05 Robbery, blackmail, and extortion",Robbery,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,1,0,0
2015,1,2,Top End,061 Burglary - dwelling,House break-ins actual,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,7,0,0
2015,1,2,Top End,061 Burglary - dwelling,House break-ins attempted,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,1,0,0
2015,1,2,Top End,062 Burglary - non-residential,Commercial break-ins actual,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,22,0,0
2015,1,2,Top End,062 Burglary - non-residential,Commercial break-ins attempted,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,2,0,0
2015,1,2,Top End,07 Theft,Theft and related offences (other than MV),0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,32,0,0
2015,1,2,Top End,11 Property damage offences,Property damage offences,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,42,0,0
2015,1,3,Barkly,02 Assault,Assault,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,2,0,0
2015,1,3,Barkly,02 Assault,Assault,0,1,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,10,0,10
2015,1,3,Barkly,02 Assault,Assault,1,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,7,7,0
2015,1,3,Barkly,02 Assault,Assault,1,1,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,25,25,25
2015,1,3,Barkly,03 Sexual offences,Sexual assault,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,1,0,0
2015,1,3,Barkly,04 Harm or endanger persons,Deprivation of liberty /false imprisonment,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,1,0,0
2015,1,3,Barkly,061 Burglary - dwelling,House break-ins actual,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,2,0,0
2015,1,3,Barkly,062 Burglary - non-residential,Commercial break-ins actual,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,2,0,0
2015,1,3,Barkly,062 Burglary - non-residential,Commercial break-ins attempted,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,1,0,0
2015,1,3,Barkly,07 Theft,Illegal use of a motor vehicle,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,1,0,0
2015,1,3,Barkly,07 Theft,Theft and related offences (other than MV),0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,6,0,0
2015,1,3,Barkly,07 Theft,Theft of motor vehicle parts or contents,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,1,0,0
2015,1,3,Barkly,11 Property damage offences,Property damage offences,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,9,0,0
2015,1,3,Big Rivers,02 Assault,Assault,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,7,0,0
2015,1,3,Big Rivers,02 Assault,Assault,0,1,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,16,0,16
2015,1,3,Big Rivers,02 Assault,Assault,1,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,9,9,0
2015,1,3,Big Rivers,02 Assault,Assault,1,1,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,31,31,31
2015,1,3,Big Rivers,03 Sexual offences,Sexual assault,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,5,0,0
2015,1,3,Big Rivers,04 Harm or endanger persons,Threatening behaviour,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,3,0,0
2015,1,3,Big Rivers,061 Burglary - dwelling,House break-ins actual,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,2,0,0
2015,1,3,Big Rivers,062 Burglary - non-residential,Commercial break-ins actual,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,19,0,0
2015,1,3,Big Rivers,062 Burglary - non-residential,Commercial break-ins attempted,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,1,0,0
2015,1,3,Big Rivers,07 Theft,Illegal use of a motor vehicle,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,4,0,0
2015,1,3,Big Rivers,07 Theft,Theft and related offences (other than MV),0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,31,0,0
2015,1,3,Big Rivers,07 Theft,Theft of motor vehicle parts or contents,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,2,0,0
2015,1,3,Big Rivers,11 Property damage offences,Property damage offences,0,0,20616,11168,9448,10515,10101,1971,1650,1363,1798,1896,1705,1302,1387,1264,1776,1182,1080,876,611,358,247,86,64,,,,,,,,,,,31,0,0
2015,1,3,Central Australia,01 Homicide,Manslaughter,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,1,0,0
2015,1,3,Central Australia,02 Assault,Assault,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,26,0,0
2015,1,3,Central Australia,02 Assault,Assault,0,1,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,43,0,43
2015,1,3,Central Australia,02 Assault,Assault,1,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,28,28,0
2015,1,3,Central Australia,02 Assault,Assault,1,1,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,81,81,81
2015,1,3,Central Australia,03 Sexual offences,Non-assaultive sexual offences,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,4,0,0
2015,1,3,Central Australia,03 Sexual offences,Sexual assault,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,14,0,0
2015,1,3,Central Australia,04 Harm or endanger persons,Deprivation of liberty /false imprisonment,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,1,0,0
2015,1,3,Central Australia,04 Harm or endanger persons,Harassment and private nuisance,0,0,39140,15128,24012,20009,19131,2933,2669,2547,3064,3786,3620,2809,2864,2841,2714,2698,2401,1657,1078,664,384,236,175,,,,,,,,,,,2,0,0
